raw_index,message_type,is_sender,message,sticker_path,CreateTime,unix_seconds,time_gap,message_id,sticker_id,sticker_caption,sticker_quality_score,sticker_needs_review,normalized_text,sticker_resolved
22,text,1,进去了也出不来,,2023-02-07 03:19:23+00:00,1675739963,23.0,msg_00000022,,,,,进去了也出不来,True
23,text,0,二系的,,2023-02-07 03:20:49+00:00,1675740049,86.0,msg_00000023,,,,,二系的,True
24,text,0,没事，在家太无聊了,,2023-02-07 03:20:59+00:00,1675740059,10.0,msg_00000024,,,,,没事，在家太无聊了,True
25,text,1,挺巧的,,2023-02-07 03:21:00+00:00,1675740060,1.0,msg_00000025,,,,,挺巧的,True
26,text,1,我飞设的,,2023-02-07 03:21:05+00:00,1675740065,5.0,msg_00000026,,,,,我飞设的,True
27,text,1,去是为了两门缓考,,2023-02-07 03:21:21+00:00,1675740081,16.0,msg_00000027,,,,,去是为了两门缓考,True
28,text,0,哈哈哈哈哈我们还没分,,2023-02-07 03:21:21+00:00,1675740081,0.0,msg_00000028,,,,,哈哈哈哈哈我们还没分,True
29,text,1,欢迎来飞设[破涕为笑],,2023-02-07 03:21:32+00:00,1675740092,11.0,msg_00000029,,,,,欢迎来飞设[破涕为笑],True
30,text,0,哈哈哈飞设好学吗,,2023-02-07 03:53:59+00:00,1675742039,1947.0,msg_00000030,,,,,哈哈哈飞设好学吗,True
31,text,0,还没想好飞设还是飞动,,2023-02-07 03:54:13+00:00,1675742053,14.0,msg_00000031,,,,,还没想好飞设还是飞动,True
32,text,0,学长哪的,,2023-02-07 03:54:36+00:00,1675742076,23.0,msg_00000032,,,,,学长哪的,True
33,text,1,湖北的,,2023-02-07 03:54:50+00:00,1675742090,14.0,msg_00000033,,,,,湖北的,True
34,text,1,可以算是二系最卷的那种了,,2023-02-07 03:55:22+00:00,1675742122,32.0,msg_00000034,,,,,可以算是二系最卷的那种了,True
35,text,0,哦哦,,2023-02-07 03:56:24+00:00,1675742184,62.0,msg_00000035,,,,,哦哦,True
36,text,1,里面挺多爱学习的孩子[旺柴],,2023-02-07 03:56:25+00:00,1675742185,1.0,msg_00000036,,,,,里面挺多爱学习的孩子[旺柴],True
37,text,0,我山东的,,2023-02-07 03:56:25+00:00,1675742185,0.0,msg_00000037,,,,,我山东的,True
38,text,1,你寒假咋玩的啊？,,2023-02-07 03:56:44+00:00,1675742204,19.0,msg_00000038,,,,,你寒假咋玩的啊？,True
39,text,1,感觉好像没玩够,,2023-02-07 03:56:55+00:00,1675742215,11.0,msg_00000039,,,,,感觉好像没玩够,True
40,text,1,但又得忙于这些课了,,2023-02-07 03:57:04+00:00,1675742224,9.0,msg_00000040,,,,,但又得忙于这些课了,True
41,text,0,没啥好玩的其实也,,2023-02-07 03:59:39+00:00,1675742379,155.0,msg_00000041,,,,,没啥好玩的其实也,True
42,text,0,就和朋友逛逛街,,2023-02-07 03:59:49+00:00,1675742389,10.0,msg_00000042,,,,,就和朋友逛逛街,True
43,text,1,我的话也就和高中同学吃饭喝酒打麻将了[捂脸],,2023-02-07 04:00:16+00:00,1675742416,27.0,msg_00000043,,,,,我的话也就和高中同学吃饭喝酒打麻将了[捂脸],True
45,text,1,麻将新手请师傅教那种,,2023-02-07 04:01:18+00:00,1675742478,42.0,msg_00000045,,,,,麻将新手请师傅教那种,True
46,text,0,哈哈我也不会,,2023-02-07 04:02:06+00:00,1675742526,48.0,msg_00000046,,,,,哈哈我也不会,True
47,text,0,你几点到,,2023-02-07 04:02:18+00:00,1675742538,12.0,msg_00000047,,,,,你几点到,True
49,text,1,航班不变动的话,,2023-02-07 04:03:23+00:00,1675742603,7.0,msg_00000049,,,,,航班不变动的话,True
50,text,1,大概是这样,,2023-02-07 04:03:29+00:00,1675742609,6.0,msg_00000050,,,,,大概是这样,True
51,text,0,你买的真贵,,2023-02-07 04:03:51+00:00,1675742631,22.0,msg_00000051,,,,,你买的真贵,True
52,text,0,我就410,,2023-02-07 04:03:54+00:00,1675742634,3.0,msg_00000052,,,,,我就410,True
53,sticker,0,[表情包],../emojis/22c89dc99770464fe889d44458e712a2.gif,2023-02-07 04:03:58+00:00,1675742638,4.0,msg_00000053,sticker_000002,[表情包:搞笑狗戴墨镜，逗趣表情包],1.0,False,[表情包:搞笑狗戴墨镜，逗趣表情包],True
54,text,1,我是湖北的[捂脸],,2023-02-07 04:04:06+00:00,1675742646,8.0,msg_00000054,,,,,我是湖北的[捂脸],True
55,text,1,好歹2000多公里,,2023-02-07 04:04:15+00:00,1675742655,9.0,msg_00000055,,,,,好歹2000多公里,True
56,text,0,哈哈哈那你到机场后怎么走,,2023-02-07 04:04:37+00:00,1675742677,22.0,msg_00000056,,,,,哈哈哈那你到机场后怎么走,True
57,text,1,平时买都1000多[流泪],,2023-02-07 04:04:38+00:00,1675742678,1.0,msg_00000057,,,,,平时买都1000多[流泪],True
58,text,1,这个看你是做大巴还是打车了,,2023-02-07 04:04:54+00:00,1675742694,16.0,msg_00000058,,,,,这个看你是做大巴还是打车了,True
59,text,1,我都行,,2023-02-07 04:04:58+00:00,1675742698,4.0,msg_00000059,,,,,我都行,True
60,text,1,没事这个应该不会让我困在机场的[破涕为笑],,2023-02-07 04:06:20+00:00,1675742780,82.0,msg_00000060,,,,,没事这个应该不会让我困在机场的[破涕为笑],True
61,text,0,想着拼车会不会合适一些,,2023-02-07 04:06:44+00:00,1675742804,24.0,msg_00000061,,,,,想着拼车会不会合适一些,True
62,text,0,直接到校也会方便一些,,2023-02-07 04:06:47+00:00,1675742807,3.0,msg_00000062,,,,,直接到校也会方便一些,True
63,text,1,可以尝试,,2023-02-07 04:07:17+00:00,1675742837,30.0,msg_00000063,,,,,可以尝试,True
64,text,1,不过拼车其实也有点小贵,,2023-02-07 04:07:57+00:00,1675742877,40.0,msg_00000064,,,,,不过拼车其实也有点小贵,True
65,text,1,相比坐巴士的话,,2023-02-07 04:08:06+00:00,1675742886,9.0,msg_00000065,,,,,相比坐巴士的话,True
66,text,1,之前一室友拼过不过忘记多少来着了,,2023-02-07 04:09:06+00:00,1675742946,60.0,msg_00000066,,,,,之前一室友拼过不过忘记多少来着了,True
67,text,0,坐巴士我怕直接到不了,,2023-02-07 04:09:38+00:00,1675742978,32.0,msg_00000067,,,,,坐巴士我怕直接到不了,True
68,text,0,会迷路[皱眉],,2023-02-07 04:09:43+00:00,1675742983,5.0,msg_00000068,,,,,会迷路[皱眉],True
69,text,1,你把我当空气呢？[破涕为笑],,2023-02-07 04:10:21+00:00,1675743021,38.0,msg_00000069,,,,,你把我当空气呢？[破涕为笑],True
70,text,0,哈哈哈哈,,2023-02-07 04:11:20+00:00,1675743080,59.0,msg_00000070,,,,,哈哈哈哈,True
71,text,0,不认路现在还,,2023-02-07 04:11:27+00:00,1675743087,7.0,msg_00000071,,,,,不认路现在还,True
72,text,1,没事这个迷路不存在的,,2023-02-07 04:11:41+00:00,1675743101,14.0,msg_00000072,,,,,没事这个迷路不存在的,True
73,text,1,我上次来就坐巴士到了哈东,,2023-02-07 04:11:54+00:00,1675743114,13.0,msg_00000073,,,,,我上次来就坐巴士到了哈东,True
74,text,1,然后坐地铁直接到体育馆那前面,,2023-02-07 04:12:08+00:00,1675743128,14.0,msg_00000074,,,,,然后坐地铁直接到体育馆那前面,True
75,text,1,说不准还可以先到外面玩然后再去学校[破涕为笑],,2023-02-07 04:12:33+00:00,1675743153,25.0,msg_00000075,,,,,说不准还可以先到外面玩然后再去学校[破涕为笑],True
76,text,0,哈哈哈哈拖着行李不是很方便,,2023-02-07 04:13:38+00:00,1675743218,65.0,msg_00000076,,,,,哈哈哈哈拖着行李不是很方便,True
77,text,0,太沉了,,2023-02-07 04:13:40+00:00,1675743220,2.0,msg_00000077,,,,,太沉了,True
78,text,1,行但是迷路的话无论怎样都不至于的,,2023-02-07 04:14:27+00:00,1675743267,47.0,msg_00000078,,,,,行但是迷路的话无论怎样都不至于的,True
79,text,0,嗯嗯,,2023-02-07 04:16:30+00:00,1675743390,123.0,msg_00000079,,,,,嗯嗯,True
80,text,0,那要不就坐大巴，便宜点,,2023-02-07 04:16:39+00:00,1675743399,9.0,msg_00000080,,,,,那要不就坐大巴，便宜点,True
81,text,1,可以的,,2023-02-07 04:18:22+00:00,1675743502,103.0,msg_00000081,,,,,可以的,True
82,text,1,倒时候看我的[破涕为笑],,2023-02-07 04:18:40+00:00,1675743520,18.0,msg_00000082,,,,,倒时候看我的[破涕为笑],True
83,text,1,要是我迷路了只能寄了[旺柴],,2023-02-07 04:19:00+00:00,1675743540,20.0,msg_00000083,,,,,要是我迷路了只能寄了[旺柴],True
84,text,0,大不了迷路之后再打车,,2023-02-07 04:19:39+00:00,1675743579,39.0,msg_00000084,,,,,大不了迷路之后再打车,True
85,sticker,0,[表情包],../emojis/3abc1bb4b8833f248963bfb74989ae66.gif,2023-02-07 04:19:40+00:00,1675743580,1.0,msg_00000085,sticker_000003,[表情包:小狗抱着毛绒玩具，显得非常可爱。],1.0,False,[表情包:小狗抱着毛绒玩具，显得非常可爱。],True
86,text,1,对,,2023-02-07 04:20:22+00:00,1675743622,42.0,msg_00000086,,,,,对,True
87,text,1,要是寄了,,2023-02-07 04:20:25+00:00,1675743625,3.0,msg_00000087,,,,,要是寄了,True
88,text,1,干脆外面玩会再去学校,,2023-02-07 04:20:34+00:00,1675743634,9.0,msg_00000088,,,,,干脆外面玩会再去学校,True
89,sticker,1,[表情包],../emojis/bba4f1fd5e7f62bfa99925c504757338.gif,2023-02-07 04:20:47+00:00,1675743647,13.0,msg_00000089,sticker_000004,[表情包:惊讶的猫在雪地里],1.0,False,[表情包:惊讶的猫在雪地里],True
90,text,1,下学期要是不封校,,2023-02-07 04:22:32+00:00,1675743752,105.0,msg_00000090,,,,,下学期要是不封校,True
91,text,1,我直接哈尔滨逛遍,,2023-02-07 04:22:39+00:00,1675743759,7.0,msg_00000091,,,,,我直接哈尔滨逛遍,True
92,text,0,哈哈哈我也,,2023-02-07 04:22:49+00:00,1675743769,10.0,msg_00000092,,,,,哈哈哈我也,True
93,text,0,应该不封,,2023-02-07 04:23:00+00:00,1675743780,11.0,msg_00000093,,,,,应该不封,True
94,text,1,前一年半基本就在学校憋着,,2023-02-07 04:23:03+00:00,1675743783,3.0,msg_00000094,,,,,前一年半基本就在学校憋着,True
95,text,1,太想放肆了,,2023-02-07 04:23:11+00:00,1675743791,8.0,msg_00000095,,,,,太想放肆了,True
96,text,0,我上学期还出去玩过两次,,2023-02-07 04:23:13+00:00,1675743793,2.0,msg_00000096,,,,,我上学期还出去玩过两次,True
97,text,1,[流泪],,2023-02-07 04:23:18+00:00,1675743798,5.0,msg_00000097,,,,,[流泪],True
98,text,1,我那些高中同学有的都到处旅游去了,,2023-02-07 04:23:43+00:00,1675743823,25.0,msg_00000098,,,,,我那些高中同学有的都到处旅游去了,True
99,text,0,哈哈差不多差不多,,2023-02-07 04:24:30+00:00,1675743870,47.0,msg_00000099,,,,,哈哈差不多差不多,True
100,text,1,你们山东人是不是都挺能喝的那种,,2023-02-07 04:27:56+00:00,1675744076,206.0,msg_00000100,,,,,你们山东人是不是都挺能喝的那种,True
101,text,0,哈哈哈应该是,,2023-02-07 04:36:50+00:00,1675744610,534.0,msg_00000101,,,,,哈哈哈应该是,True
102,text,0,我不能喝但是,,2023-02-07 04:36:50+00:00,1675744610,0.0,msg_00000102,,,,,我不能喝但是,True
103,text,1,下学期解封我得拉一个山东大汉试试酒量[旺柴],,2023-02-07 04:37:43+00:00,1675744663,53.0,msg_00000103,,,,,下学期解封我得拉一个山东大汉试试酒量[旺柴],True
104,text,1,啊对你们那章丘炒鸡不错,,2023-02-07 04:38:03+00:00,1675744683,20.0,msg_00000104,,,,,啊对你们那章丘炒鸡不错,True
105,text,0,对,,2023-02-07 04:38:28+00:00,1675744708,25.0,msg_00000105,,,,,对,True
106,text,0,我是济南的但是,,2023-02-07 04:38:38+00:00,1675744718,10.0,msg_00000106,,,,,我是济南的但是,True
107,text,1,学校的章丘炒鸡在我看来能排上前一二在学校里面,,2023-02-07 04:39:03+00:00,1675744743,25.0,msg_00000107,,,,,学校的章丘炒鸡在我看来能排上前一二在学校里面,True
108,text,1,有的时候点晚了就抢不到了,,2023-02-07 04:39:19+00:00,1675744759,16.0,msg_00000108,,,,,有的时候点晚了就抢不到了,True
109,text,0,确实，我还没吃过哈哈哈,,2023-02-07 04:40:10+00:00,1675744810,51.0,msg_00000109,,,,,确实，我还没吃过哈哈哈,True
110,text,1,下学期可以试试,,2023-02-07 04:40:36+00:00,1675744836,26.0,msg_00000110,,,,,下学期可以试试,True
111,text,1,挺不错的,,2023-02-07 04:40:40+00:00,1675744840,4.0,msg_00000111,,,,,挺不错的,True
112,text,0,好嘞,,2023-02-07 04:43:24+00:00,1675745004,164.0,msg_00000112,,,,,好嘞,True
113,text,1,好拍一拍[破涕为笑],,2023-02-07 04:44:06+00:00,1675745046,42.0,msg_00000113,,,,,好拍一拍[破涕为笑],True
114,text,0,哈哈哈哈,,2023-02-07 04:46:29+00:00,1675745189,143.0,msg_00000114,,,,,哈哈哈哈,True
115,text,0,你好简洁,,2023-02-07 04:46:37+00:00,1675745197,8.0,msg_00000115,,,,,你好简洁,True
116,text,1,对,,2023-02-07 04:46:46+00:00,1675745206,9.0,msg_00000116,,,,,对,True
117,text,1,大道至简,,2023-02-07 04:46:51+00:00,1675745211,5.0,msg_00000117,,,,,大道至简,True
118,text,1,可不能让人看出什么来,,2023-02-07 04:46:59+00:00,1675745219,8.0,msg_00000118,,,,,可不能让人看出什么来,True
119,sticker,1,[表情包],../emojis/df6c9b2afc12a5672f2ca0457d757a00.gif,2023-02-07 04:47:15+00:00,1675745235,16.0,msg_00000119,sticker_000005,[表情包:猫咪高举爪子，仿佛在说‘你好’],1.0,False,[表情包:猫咪高举爪子，仿佛在说‘你好’],True
120,text,0,哈哈哈学长名字是啥,,2023-02-07 04:47:57+00:00,1675745277,42.0,msg_00000120,,,,,哈哈哈学长名字是啥,True
121,text,0,备注一下,,2023-02-07 04:48:05+00:00,1675745285,8.0,msg_00000121,,,,,备注一下,True
122,text,1,曾义杰,,2023-02-07 04:48:19+00:00,1675745299,14.0,msg_00000122,,,,,曾义杰,True
123,text,0,OKOK,,2023-02-07 04:48:31+00:00,1675745311,12.0,msg_00000123,,,,,OKOK,True
124,text,1,你叫啥我也备注下吧,,2023-02-07 04:48:37+00:00,1675745317,6.0,msg_00000124,,,,,你叫啥我也备注下吧,True
125,text,0,李彩云,,2023-02-07 04:48:45+00:00,1675745325,8.0,msg_00000125,,,,,李彩云,True
126,text,1,彩云啊21号咱们可不能寄了[旺柴],,2023-02-07 04:49:15+00:00,1675745355,30.0,msg_00000126,,,,,彩云啊21号咱们可不能寄了[旺柴],True
127,text,0,不会的，还有高德,,2023-02-07 04:49:38+00:00,1675745378,23.0,msg_00000127,,,,,不会的，还有高德,True
128,sticker,1,[表情包],../emojis/fda75fa802ad2473574d81315415db33.gif,2023-02-07 04:49:39+00:00,1675745379,1.0,msg_00000128,sticker_000006,[表情包:惊讶的小狗 / 表达惊讶],1.0,False,[表情包:惊讶的小狗 / 表达惊讶],True
129,text,0,OKOK我都可以,,2023-02-07 04:52:43+00:00,1675745563,184.0,msg_00000129,,,,,OKOK我都可以,True
130,text,1,放心咱们不会寄的,,2023-02-07 04:53:32+00:00,1675745612,49.0,msg_00000130,,,,,放心咱们不会寄的,True
131,text,0,嗯嗯,,2023-02-07 04:54:21+00:00,1675745661,49.0,msg_00000131,,,,,嗯嗯,True
132,text,1,有个小问题,,2023-02-07 06:16:23+00:00,1675750583,4922.0,msg_00000132,,,,,有个小问题,True
133,text,0,啊你说,,2023-02-07 07:41:52+00:00,1675755712,5129.0,msg_00000133,,,,,啊你说,True
134,text,0,刚刚在看电影,,2023-02-07 07:41:57+00:00,1675755717,5.0,msg_00000134,,,,,刚刚在看电影,True
135,text,1,你这么早去大一的应该也没啥人吧，应该也无聊啊[破涕为笑],,2023-02-07 07:43:53+00:00,1675755833,116.0,msg_00000135,,,,,你这么早去大一的应该也没啥人吧，应该也无聊啊[破涕为笑],True
136,text,0,满江红哈哈哈,,2023-02-07 08:14:42+00:00,1675757682,1849.0,msg_00000136,,,,,满江红哈哈哈,True
137,text,0,确实没人,,2023-02-07 08:14:53+00:00,1675757693,11.0,msg_00000137,,,,,确实没人,True
138,text,1,满江红我也看过,,2023-02-07 08:15:09+00:00,1675757709,16.0,msg_00000138,,,,,满江红我也看过,True
139,text,0,无所谓，自己开卷,,2023-02-07 08:15:14+00:00,1675757714,5.0,msg_00000139,,,,,无所谓，自己开卷,True
140,sticker,0,[表情包],../emojis/9ed4f53ca82b9b051e33d183138dc220.png,2023-02-07 08:15:14+00:00,1675757714,0.0,msg_00000140,sticker_000007,[表情包:困惑的猫咪表情包],1.0,False,[表情包:困惑的猫咪表情包],True
141,text,1,这回看着的人多不,,2023-02-07 08:15:20+00:00,1675757720,6.0,msg_00000141,,,,,这回看着的人多不,True
142,text,1,会,,2023-02-07 08:15:22+00:00,1675757722,2.0,msg_00000142,,,,,会,True
143,text,0,不多,,2023-02-07 08:15:30+00:00,1675757730,8.0,msg_00000143,,,,,不多,True
144,text,0,很少,,2023-02-07 08:15:32+00:00,1675757732,2.0,msg_00000144,,,,,很少,True
145,text,0,票还便宜,,2023-02-07 08:15:36+00:00,1675757736,4.0,msg_00000145,,,,,票还便宜,True
146,text,1,前几天我去电影院就发现人很少了,,2023-02-07 08:15:42+00:00,1675757742,6.0,msg_00000146,,,,,前几天我去电影院就发现人很少了,True
147,text,1,满江红我看的有点快睡着了[捂脸],,2023-02-07 08:16:06+00:00,1675757766,24.0,msg_00000147,,,,,满江红我看的有点快睡着了[捂脸],True
148,text,0,哈哈说着玩的,,2023-02-07 08:17:00+00:00,1675757820,54.0,msg_00000148,,,,,哈哈说着玩的,True
149,text,0,在家我妈快嫌弃我了,,2023-02-07 08:17:07+00:00,1675757827,7.0,msg_00000149,,,,,在家我妈快嫌弃我了,True
150,text,1,你们下学期有大物计算思维高数等等乱七八糟的多学点也好[旺柴],,2023-02-07 08:19:13+00:00,1675757953,126.0,msg_00000150,,,,,你们下学期有大物计算思维高数等等乱七八糟的多学点也好[旺柴],True
151,text,0,学不明白哈哈哈,,2023-02-07 08:20:03+00:00,1675758003,50.0,msg_00000151,,,,,学不明白哈哈哈,True
152,text,1,对还得推荐你一本大物书,,2023-02-07 08:20:14+00:00,1675758014,11.0,msg_00000152,,,,,对还得推荐你一本大物书,True
153,text,1,能助你一臂之力那种,,2023-02-07 08:20:40+00:00,1675758040,26.0,msg_00000153,,,,,能助你一臂之力那种,True
154,text,1,图书馆可借的那种[破涕为笑],,2023-02-07 08:21:02+00:00,1675758062,22.0,msg_00000154,,,,,图书馆可借的那种[破涕为笑],True
155,text,0,我就去过一两次图书馆,,2023-02-07 08:26:20+00:00,1675758380,318.0,msg_00000155,,,,,我就去过一两次图书馆,True
156,text,0,平时都在11,,2023-02-07 08:26:25+00:00,1675758385,5.0,msg_00000156,,,,,平时都在11,True
157,text,1,差不多,,2023-02-07 08:26:33+00:00,1675758393,8.0,msg_00000157,,,,,差不多,True
158,text,1,11号楼4、5楼我住那,,2023-02-07 08:26:46+00:00,1675758406,13.0,msg_00000158,,,,,11号楼4、5楼我住那,True
159,text,0,啥书哈哈哈哈,,2023-02-07 08:26:48+00:00,1675758408,2.0,msg_00000159,,,,,啥书哈哈哈哈,True
160,text,1,欢迎来骚[破涕为笑],,2023-02-07 08:26:55+00:00,1675758415,7.0,msg_00000160,,,,,欢迎来骚[破涕为笑],True
161,text,0,差不多，我在三楼多一些,,2023-02-07 08:27:01+00:00,1675758421,6.0,msg_00000161,,,,,差不多，我在三楼多一些,True
162,text,1,比学校发的那破书好用多了,,2023-02-07 08:27:23+00:00,1675758443,22.0,msg_00000162,,,,,比学校发的那破书好用多了,True
163,text,1,学明白不出意外90多应该是有的,,2023-02-07 08:27:42+00:00,1675758462,19.0,msg_00000163,,,,,学明白不出意外90多应该是有的,True
165,text,1,之前我学大物下才发现的宝藏书,,2023-02-07 08:28:46+00:00,1675758526,17.0,msg_00000165,,,,,之前我学大物下才发现的宝藏书,True
166,text,1,就看了磁学和热学,,2023-02-07 08:29:02+00:00,1675758542,16.0,msg_00000166,,,,,就看了磁学和热学,True
167,text,0,这笔记记得也太认真了吧,,2023-02-07 08:29:17+00:00,1675758557,15.0,msg_00000167,,,,,这笔记记得也太认真了吧,True
168,sticker,0,[表情包],../emojis/f97ae4232d60401cb0d30574ce3d73b5.gif,2023-02-07 08:29:20+00:00,1675758560,3.0,msg_00000168,sticker_000008,[表情包:惊讶的狗表情包，可能对某事感到困惑。],1.0,False,[表情包:惊讶的狗表情包，可能对某事感到困惑。],True
169,text,1,后面借期到了老久就还过去了,,2023-02-07 08:29:24+00:00,1675758564,4.0,msg_00000169,,,,,后面借期到了老久就还过去了,True
170,text,0,卧槽你这也太牛了,,2023-02-07 08:29:46+00:00,1675758586,22.0,msg_00000170,,,,,卧槽你这也太牛了,True
171,text,1,还有自控原理也记了老多,,2023-02-07 08:29:47+00:00,1675758587,1.0,msg_00000171,,,,,还有自控原理也记了老多,True
172,text,0,佬啊你是,,2023-02-07 08:30:02+00:00,1675758602,15.0,msg_00000172,,,,,佬啊你是,True
173,text,1,迫不得已的[捂脸],,2023-02-07 08:30:29+00:00,1675758629,27.0,msg_00000173,,,,,迫不得已的[捂脸],True
175,text,0,你这得前几名了都,,2023-02-07 08:30:50+00:00,1675758650,7.0,msg_00000175,,,,,你这得前几名了都,True
176,text,1,我都乱玩的那种,,2023-02-07 08:30:53+00:00,1675758653,3.0,msg_00000176,,,,,我都乱玩的那种,True
177,text,1,尽力就行,,2023-02-07 08:31:06+00:00,1675758666,13.0,msg_00000177,,,,,尽力就行,True
178,text,1,有些课没办法弄高他想打多少就打多少,,2023-02-07 08:31:31+00:00,1675758691,25.0,msg_00000178,,,,,有些课没办法弄高他想打多少就打多少,True
179,text,0,保研啊看来是要[旺柴],,2023-02-07 08:31:34+00:00,1675758694,3.0,msg_00000179,,,,,保研啊看来是要[旺柴],True
180,text,1,爷不在意的[捂脸],,2023-02-07 08:31:39+00:00,1675758699,5.0,msg_00000180,,,,,爷不在意的[捂脸],True
181,text,1,还是喜欢玩实话实说,,2023-02-07 08:32:18+00:00,1675758738,39.0,msg_00000181,,,,,还是喜欢玩实话实说,True
182,sticker,1,[表情包],../emojis/fda75fa802ad2473574d81315415db33.gif,2023-02-07 08:32:20+00:00,1675758740,2.0,msg_00000182,sticker_000006,[表情包:惊讶的小狗 / 表达惊讶],1.0,False,[表情包:惊讶的小狗 / 表达惊讶],True
183,text,0,哈哈都喜欢玩,,2023-02-07 08:32:42+00:00,1675758762,22.0,msg_00000183,,,,,哈哈都喜欢玩,True
184,text,1,寒假算是乱玩也没玩明白,,2023-02-07 08:33:32+00:00,1675758812,50.0,msg_00000184,,,,,寒假算是乱玩也没玩明白,True
185,text,0,没事，已经学够了看来,,2023-02-07 08:35:28+00:00,1675758928,116.0,msg_00000185,,,,,没事，已经学够了看来,True
186,text,0,笔记真不错,,2023-02-07 08:35:38+00:00,1675758938,10.0,msg_00000186,,,,,笔记真不错,True
188,text,1,刷抖音看到这个觉得挺对的,,2023-02-07 08:36:47+00:00,1675759007,14.0,msg_00000188,,,,,刷抖音看到这个觉得挺对的,True
189,text,1,所以也算策略吧,,2023-02-07 08:36:53+00:00,1675759013,6.0,msg_00000189,,,,,所以也算策略吧,True
190,text,0,学一学期和考前一月是一样的感觉上学期,,2023-02-07 08:38:34+00:00,1675759114,101.0,msg_00000190,,,,,学一学期和考前一月是一样的感觉上学期,True
191,text,1,笔记只是一种形式罢了关键得边写边记形成一定体系考试就差不多,,2023-02-07 08:38:38+00:00,1675759118,4.0,msg_00000191,,,,,笔记只是一种形式罢了关键得边写边记形成一定体系考试就差不多,True
192,text,1,平时分慕课啥的扣了一些也说不准的,,2023-02-07 08:39:33+00:00,1675759173,55.0,msg_00000192,,,,,平时分慕课啥的扣了一些也说不准的,True
193,text,1,不过现在还有两门高学分的缓考造孽[流泪],,2023-02-07 08:39:57+00:00,1675759197,24.0,msg_00000193,,,,,不过现在还有两门高学分的缓考造孽[流泪],True
194,text,1,复习不进去啊[捂脸],,2023-02-07 08:42:47+00:00,1675759367,170.0,msg_00000194,,,,,复习不进去啊[捂脸],True
195,text,1,天天11点起的,,2023-02-07 08:42:57+00:00,1675759377,10.0,msg_00000195,,,,,天天11点起的,True
196,text,1,生物钟摆在那,,2023-02-07 08:43:08+00:00,1675759388,11.0,msg_00000196,,,,,生物钟摆在那,True
197,text,1,只能慢慢适应或者强迫自己学了,,2023-02-07 08:43:28+00:00,1675759408,20.0,msg_00000197,,,,,只能慢慢适应或者强迫自己学了,True
